,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
110,2018-11-10,Cardiff,Brighton,,,
111,2018-11-10,Newcastle,Bournemouth,,,
112,2018-11-10,Leicester,Burnley,,,
113,2018-11-10,Huddersfield,West Ham,,,
114,2018-11-10,Southampton,Watford,,,
115,2018-11-10,Crystal Palace,Tottenham,,,
116,2018-11-11,Liverpool,Fulham,,,
117,2018-11-11,Chelsea,Everton,,,
118,2018-11-11,Man City,Man United,,,
119,2018-11-11,Arsenal,Wolves,,,
120,2018-11-24,Fulham,Southampton,,,
121,2018-11-24,Everton,Cardiff,,,
122,2018-11-24,Man United,Crystal Palace,,,
123,2018-11-24,West Ham,Man City,,,
124,2018-11-24,Brighton,Leicester,,,
125,2018-11-24,Watford,Liverpool,,,
126,2018-11-24,Tottenham,Chelsea,,,
127,2018-11-25,Bournemouth,Arsenal,,,
128,2018-11-25,Wolves,Huddersfield,,,
129,2018-11-26,Burnley,Newcastle,,,
130,2018-11-30,Cardiff,Wolves,,,
131,2018-12-01,Man City,Bournemouth,,,
132,2018-12-01,Newcastle,West Ham,,,
133,2018-12-01,Leicester,Watford,,,
134,2018-12-01,Huddersfield,Brighton,,,
135,2018-12-01,Crystal Palace,Burnley,,,
136,2018-12-01,Southampton,Man United,,,
137,2018-12-02,Chelsea,Fulham,,,
138,2018-12-02,Arsenal,Tottenham,,,
139,2018-12-02,Liverpool,Everton,,,
140,2018-12-04,West Ham,Cardiff,,,
141,2018-12-04,Brighton,Crystal Palace,,,
142,2018-12-04,Bournemouth,Huddersfield,,,
143,2018-12-04,Watford,Man City,,,
144,2018-12-05,Wolves,Chelsea,,,
145,2018-12-05,Fulham,Leicester,,,
146,2018-12-05,Burnley,Liverpool,,,
147,2018-12-05,Everton,Newcastle,,,
148,2018-12-05,Man United,Arsenal,,,
149,2018-12-05,Tottenham,Southampton,,,
150,2018-12-08,Bournemouth,Liverpool,,,
151,2018-12-08,Arsenal,Huddersfield,,,
152,2018-12-08,Man United,Fulham,,,
153,2018-12-08,Burnley,Brighton,,,
154,2018-12-08,Cardiff,Southampton,,,
155,2018-12-08,West Ham,Crystal Palace,,,
156,2018-12-08,Chelsea,Man City,,,
157,2018-12-08,Leicester,Tottenham,,,
158,2018-12-09,Newcastle,Wolves,,,
159,2018-12-10,Everton,Watford,,,
160,2018-12-15,Man City,Everton,,,
161,2018-12-15,Wolves,Bournemouth,,,
162,2018-12-15,Tottenham,Burnley,,,
163,2018-12-15,Huddersfield,Newcastle,,,
164,2018-12-15,Crystal Palace,Leicester,,,
165,2018-12-15,Watford,Cardiff,,,
166,2018-12-15,Fulham,West Ham,,,
167,2018-12-16,Southampton,Arsenal,,,
168,2018-12-16,Brighton,Chelsea,,,
169,2018-12-16,Liverpool,Man United,,,
170,2018-12-21,Wolves,Liverpool,,,
171,2018-12-22,Arsenal,Burnley,,,
172,2018-12-22,Man City,Crystal Palace,,,
173,2018-12-22,Newcastle,Fulham,,,
174,2018-12-22,Chelsea,Leicester,,,
175,2018-12-22,Huddersfield,Southampton,,,
176,2018-12-22,West Ham,Watford,,,
177,2018-12-22,Bournemouth,Brighton,,,
178,2018-12-22,Cardiff,Man United,,,
179,2018-12-23,Everton,Tottenham,,,
180,2018-12-26,Fulham,Wolves,,,
181,2018-12-26,Liverpool,Newcastle,,,
182,2018-12-26,Tottenham,Bournemouth,,,
183,2018-12-26,Man United,Huddersfield,,,
184,2018-12-26,Leicester,Man City,,,
185,2018-12-26,Burnley,Everton,,,
186,2018-12-26,Crystal Palace,Cardiff,,,
187,2018-12-26,Brighton,Arsenal,,,
188,2018-12-26,Watford,Chelsea,,,
189,2018-12-27,Southampton,West Ham,,,
190,2018-12-29,Leicester,Cardiff,,,
191,2018-12-29,Brighton,Everton,,,
192,2018-12-29,Watford,Newcastle,,,
193,2018-12-29,Fulham,Huddersfield,,,
194,2018-12-29,Tottenham,Wolves,,,
195,2018-12-29,Liverpool,Arsenal,,,
196,2018-12-30,Crystal Palace,Chelsea,,,
197,2018-12-30,Burnley,West Ham,,,
198,2018-12-30,Southampton,Man City,,,
199,2018-12-30,Man United,Bournemouth,,,
200,2019-01-01,Everton,Leicester,,,
201,2019-01-01,Arsenal,Fulham,,,
202,2019-01-01,Cardiff,Tottenham,,,
203,2019-01-02,Wolves,Crystal Palace,,,
204,2019-01-02,Chelsea,Southampton,,,
205,2019-01-02,Huddersfield,Burnley,,,
206,2019-01-02,West Ham,Brighton,,,
207,2019-01-02,Bournemouth,Watford,,,
208,2019-01-02,Newcastle,Man United,,,
209,2019-01-03,Man City,Liverpool,,,
210,2019-01-12,West Ham,Arsenal,,,
211,2019-01-12,Leicester,Southampton,,,
212,2019-01-12,Burnley,Fulham,,,
213,2019-01-12,Cardiff,Huddersfield,,,
214,2019-01-12,Crystal Palace,Watford,,,
215,2019-01-12,Brighton,Liverpool,,,
216,2019-01-12,Chelsea,Newcastle,,,
217,2019-01-13,Everton,Bournemouth,,,
218,2019-01-13,Tottenham,Man United,,,
219,2019-01-14,Man City,Wolves,,,
220,2019-01-19,Wolves,Leicester,,,
221,2019-01-19,Liverpool,Crystal Palace,,,
222,2019-01-19,Newcastle,Cardiff,,,
223,2019-01-19,Man United,Brighton,,,
224,2019-01-19,Southampton,Everton,,,
225,2019-01-19,Watford,Burnley,,,
226,2019-01-19,Bournemouth,West Ham,,,
227,2019-01-19,Arsenal,Chelsea,,,
228,2019-01-20,Huddersfield,Man City,,,
229,2019-01-20,Fulham,Tottenham,,,
230,2019-01-29,Wolves,West Ham,,,
231,2019-01-29,Fulham,Brighton,,,
232,2019-01-29,Arsenal,Cardiff,,,
233,2019-01-29,Huddersfield,Everton,,,
234,2019-01-29,Bournemouth,Chelsea,,,
235,2019-01-29,Man United,Burnley,,,
236,2019-01-29,Newcastle,Man City,,,
237,2019-01-30,Southampton,Crystal Palace,,,
238,2019-01-30,Liverpool,Leicester,,,
239,2019-01-30,Tottenham,Watford,,,
240,2019-02-01,Man City,Arsenal,,,
241,2019-02-01,Chelsea,Huddersfield,,,
242,2019-02-01,Tottenham,Newcastle,,,
243,2019-02-01,Everton,Wolves,,,
244,2019-02-01,Leicester,Man United,,,
245,2019-02-01,Burnley,Southampton,,,
246,2019-02-01,Cardiff,Bournemouth,,,
247,2019-02-01,West Ham,Liverpool,,,
248,2019-02-01,Crystal Palace,Fulham,,,
249,2019-02-01,Brighton,Watford,,,
250,2019-02-08,Wolves,Newcastle,,,
251,2019-02-08,Fulham,Man United,,,
252,2019-02-08,Liverpool,Bournemouth,,,
253,2019-02-08,Man City,Chelsea,,,
254,2019-02-08,Tottenham,Leicester,,,
255,2019-02-08,Huddersfield,Arsenal,,,
256,2019-02-08,Southampton,Cardiff,,,
257,2019-02-08,Crystal Palace,West Ham,,,
258,2019-02-08,Brighton,Burnley,,,
259,2019-02-08,Watford,Everton,,,
260,2019-02-22,Newcastle,Huddersfield,,,
261,2019-02-22,Arsenal,Southampton,,,
262,2019-02-22,Chelsea,Brighton,,,
263,2019-02-22,Everton,Man City,,,
264,2019-02-22,Man United,Liverpool,,,
265,2019-02-22,Leicester,Crystal Palace,,,
266,2019-02-22,Burnley,Tottenham,,,
267,2019-02-22,Cardiff,Watford,,,
268,2019-02-22,West Ham,Fulham,,,
269,2019-02-22,Bournemouth,Wolves,,,
270,2019-02-25,Arsenal,Bournemouth,,,
271,2019-02-25,Leicester,Brighton,,,
272,2019-02-25,Huddersfield,Wolves,,,
273,2019-02-25,Cardiff,Everton,,,
274,2019-02-25,Crystal Palace,Man United,,,
275,2019-02-26,Liverpool,Watford,,,
276,2019-02-26,Man City,West Ham,,,
277,2019-02-26,Newcastle,Burnley,,,
278,2019-02-26,Chelsea,Tottenham,,,
279,2019-02-26,Southampton,Fulham,,,
280,2019-03-01,Wolves,Cardiff,,,
281,2019-03-01,Fulham,Chelsea,,,
282,2019-03-01,Tottenham,Arsenal,,,
283,2019-03-01,Everton,Liverpool,,,
284,2019-03-01,Man United,Southampton,,,
285,2019-03-01,Burnley,Crystal Palace,,,
286,2019-03-01,West Ham,Newcastle,,,
287,2019-03-01,Brighton,Huddersfield,,,
288,2019-03-01,Watford,Leicester,,,
289,2019-03-01,Bournemouth,Man City,,,
290,2019-03-08,Liverpool,Burnley,,,
291,2019-03-08,Man City,Watford,,,
292,2019-03-08,Newcastle,Everton,,,
293,2019-03-08,Arsenal,Man United,,,
294,2019-03-08,Chelsea,Wolves,,,
295,2019-03-08,Leicester,Fulham,,,
296,2019-03-08,Huddersfield,Bournemouth,,,
297,2019-03-08,Cardiff,West Ham,,,
298,2019-03-08,Southampton,Tottenham,,,
299,2019-03-08,Crystal Palace,Brighton,,,
300,2019-03-15,Wolves,Arsenal,,,
301,2019-03-15,Fulham,Liverpool,,,
302,2019-03-15,Tottenham,Crystal Palace,,,
303,2019-03-15,Everton,Chelsea,,,
304,2019-03-15,Man United,Man City,,,
305,2019-03-15,Burnley,Leicester,,,
306,2019-03-15,West Ham,Huddersfield,,,
307,2019-03-15,Brighton,Cardiff,,,
308,2019-03-15,Watford,Southampton,,,
309,2019-03-15,Bournemouth,Newcastle,,,
310,2019-03-29,Fulham,Man City,,,
311,2019-03-29,Liverpool,Tottenham,,,
312,2019-03-29,Arsenal,Newcastle,,,
313,2019-03-29,Man United,Watford,,,
314,2019-03-29,Leicester,Bournemouth,,,
315,2019-03-29,Burnley,Wolves,,,
316,2019-03-29,Cardiff,Chelsea,,,
317,2019-03-29,West Ham,Everton,,,
318,2019-03-29,Crystal Palace,Huddersfield,,,
319,2019-03-29,Brighton,Southampton,,,
320,2019-04-05,Wolves,Man United,,,
321,2019-04-05,Man City,Cardiff,,,
322,2019-04-05,Newcastle,Crystal Palace,,,
323,2019-04-05,Chelsea,West Ham,,,
324,2019-04-05,Tottenham,Brighton,,,
325,2019-04-05,Everton,Arsenal,,,
326,2019-04-05,Huddersfield,Leicester,,,
327,2019-04-05,Southampton,Liverpool,,,
328,2019-04-05,Watford,Fulham,,,
329,2019-04-05,Bournemouth,Burnley,,,
330,2019-04-12,Fulham,Everton,,,
331,2019-04-12,Liverpool,Chelsea,,,
332,2019-04-12,Tottenham,Huddersfield,,,
333,2019-04-12,Man United,West Ham,,,
334,2019-04-12,Leicester,Newcastle,,,
335,2019-04-12,Burnley,Cardiff,,,
336,2019-04-12,Southampton,Wolves,,,
337,2019-04-12,Crystal Palace,Man City,,,
338,2019-04-12,Brighton,Bournemouth,,,
339,2019-04-12,Watford,Arsenal,,,
