,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
170,18/12/99,Liverpool,Coventry,2.0,0.0,H
171,18/12/99,Middlesbrough,Tottenham,2.0,1.0,H
172,18/12/99,Sunderland,Southampton,2.0,0.0,H
173,18/12/99,Watford,Everton,1.0,3.0,A
174,18/12/99,West Ham,Man United,2.0,4.0,A
175,19/12/99,Chelsea,Leeds,0.0,2.0,A
176,26/12/99,Coventry,Arsenal,3.0,2.0,H
177,26/12/99,Derby,Aston Villa,0.0,2.0,A
178,26/12/99,Everton,Sunderland,5.0,0.0,H
179,26/12/99,Leeds,Leicester,2.0,1.0,H
180,26/12/99,Man United,Bradford,4.0,0.0,H
181,26/12/99,Newcastle,Liverpool,2.0,2.0,D
182,26/12/99,Sheffield Weds,Middlesbrough,1.0,0.0,H
183,26/12/99,Southampton,Chelsea,1.0,2.0,A
184,26/12/99,Tottenham,Watford,4.0,0.0,H
185,26/12/99,Wimbledon,West Ham,2.0,2.0,D
186,28/12/99,Arsenal,Leeds,2.0,0.0,H
187,28/12/99,Bradford,Everton,0.0,0.0,D
188,28/12/99,Leicester,Newcastle,1.0,2.0,A
189,28/12/99,Liverpool,Wimbledon,3.0,1.0,H
190,28/12/99,Sunderland,Man United,2.0,2.0,D
191,28/12/99,Watford,Southampton,3.0,2.0,H
192,28/12/99,West Ham,Derby,1.0,1.0,D
193,29/12/99,Aston Villa,Tottenham,1.0,1.0,D
194,29/12/99,Chelsea,Sheffield Weds,3.0,0.0,H
195,03/01/00,Derby,Watford,2.0,0.0,H
196,03/01/00,Everton,Leicester,2.0,2.0,D
197,03/01/00,Leeds,Aston Villa,1.0,2.0,A
198,03/01/00,Newcastle,West Ham,2.0,2.0,D
199,03/01/00,Sheffield Weds,Arsenal,1.0,1.0,D
200,03/01/00,Southampton,Bradford,1.0,0.0,H
201,03/01/00,Tottenham,Liverpool,1.0,0.0,H
202,03/01/00,Wimbledon,Sunderland,1.0,0.0,H
203,04/01/00,Coventry,Chelsea,2.0,2.0,D
204,08/01/00,Bradford,Chelsea,1.0,1.0,D
205,12/01/00,Chelsea,Tottenham,1.0,0.0,H
206,15/01/00,Arsenal,Sunderland,4.0,1.0,H
207,15/01/00,Chelsea,Leicester,1.0,1.0,D
208,15/01/00,Coventry,Wimbledon,2.0,0.0,H
209,15/01/00,Everton,Tottenham,2.0,2.0,D
210,15/01/00,Middlesbrough,Derby,1.0,4.0,A
211,15/01/00,Sheffield Weds,Bradford,2.0,0.0,H
212,15/01/00,Watford,Liverpool,2.0,3.0,A
213,15/01/00,West Ham,Aston Villa,1.0,1.0,D
214,16/01/00,Newcastle,Southampton,5.0,0.0,H
215,22/01/00,Aston Villa,Chelsea,0.0,0.0,D
216,22/01/00,Bradford,Watford,3.0,2.0,H
217,22/01/00,Derby,Coventry,0.0,0.0,D
218,22/01/00,Leicester,West Ham,1.0,3.0,A
219,22/01/00,Liverpool,Middlesbrough,0.0,0.0,D
220,22/01/00,Southampton,Everton,2.0,0.0,H
221,22/01/00,Tottenham,Sheffield Weds,0.0,1.0,A
222,22/01/00,Wimbledon,Newcastle,2.0,0.0,H
223,23/01/00,Sunderland,Leeds,1.0,2.0,A
224,24/01/00,Man United,Arsenal,1.0,1.0,D
225,29/01/00,Man United,Middlesbrough,1.0,0.0,H
226,02/02/00,Sheffield Weds,Man United,0.0,1.0,A
227,05/02/00,Aston Villa,Watford,4.0,0.0,H
228,05/02/00,Bradford,Arsenal,2.0,1.0,H
229,05/02/00,Derby,Sheffield Weds,3.0,3.0,D
230,05/02/00,Leicester,Middlesbrough,2.0,1.0,H
231,05/02/00,Liverpool,Leeds,3.0,1.0,H
