Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,HT_match_played,HT_current_standing,HT_past_standing,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate
2011-08-20,Aston Villa,Blackburn,3,1,H,76,74,1,1,49.0,0,0,0,0.0,1,0,43.0,1,2,-1,0.0,0,0,0,0,0,0,0,0,,
2011-08-20,Chelsea,West Brom,2,1,H,83,74,1,1,46.0,0,0,0,0.0,1,0,47.0,1,2,-1,0.0,0,0,0,0,0,0,0,0,,
2011-08-20,Everton,QPR,0,1,A,77,76,0,0,54.0,0,0,0,,1,0,,0,4,-4,0.0,0,0,0,0,0,0,0,0,,
2011-08-20,Sunderland,Newcastle,0,1,A,76,77,1,1,58.0,1,1,0,0.0,1,1,46.0,0,0,0,0.0,0,0,0,0,0,0,0,0,,
2011-08-20,Swansea,Wigan,0,0,D,73,72,1,0,71.0,0,4,-4,0.0,1,1,42.0,1,1,0,0.0,0,0,0,0,0,0,0,0,,
2011-08-21,Bolton,Man City,2,3,A,74,83,1,3,,4,0,4,1.0,1,3,71.0,4,0,4,1.0,0,0,0,0,0,0,0,0,,
2011-08-21,Norwich,Stoke,1,1,D,72,76,1,1,42.0,1,1,0,0.0,1,1,46.0,0,0,0,0.0,0,0,0,0,0,0,0,0,,
2011-08-21,Wolves,Fulham,2,0,H,75,77,1,3,43.0,2,1,1,1.0,1,1,49.0,0,0,0,0.0,0,0,0,0,0,0,0,0,,
2011-08-22,Man United,Tottenham,3,0,H,83,81,1,3,47.0,2,1,1,1.0,0,0,80.0,0,0,0,,0,0,0,0,0,0,0,0,,
2011-08-27,Aston Villa,Wolves,0,0,D,76,75,2,4,49.0,3,1,2,0.5,2,6,43.0,4,1,3,1.0,0,0,0,0,0,0,0,0,,
2011-08-27,Blackburn,Everton,0,1,A,74,77,2,0,43.0,2,5,-3,0.0,1,0,54.0,0,1,-1,0.0,0,0,0,0,0,0,0,0,,
2011-08-27,Chelsea,Norwich,3,1,H,83,72,2,4,46.0,2,1,1,0.5,2,2,42.0,2,2,0,0.0,0,0,0,0,0,0,0,0,,
2011-08-27,Liverpool,Bolton,3,1,H,81,74,2,4,58.0,3,1,2,0.5,2,3,,6,3,3,0.5,0,0,0,0,0,0,0,0,,
2011-08-27,Swansea,Sunderland,0,0,D,73,76,2,1,71.0,0,4,-4,0.0,2,1,58.0,1,2,-1,0.0,0,0,0,0,0,0,0,0,,
2011-08-27,Wigan,QPR,2,0,H,72,76,2,2,42.0,1,1,0,0.0,2,3,,1,4,-3,0.5,0,0,0,0,0,0,0,0,,
2011-08-28,Man United,Arsenal,8,2,H,83,81,2,6,47.0,5,1,4,1.0,2,1,46.0,0,2,-2,0.0,0,0,0,0,0,0,0,0,,
2011-08-28,Newcastle,Fulham,2,1,H,77,77,2,4,46.0,1,0,1,0.5,2,1,49.0,0,2,-2,0.0,0,0,0,0,0,0,0,0,,
2011-08-28,Tottenham,Man City,1,5,A,81,83,1,0,80.0,0,3,-3,0.0,2,6,71.0,7,2,5,1.0,0,0,0,0,0,0,0,0,,
2011-08-28,West Brom,Stoke,0,1,A,74,76,2,0,47.0,2,4,-2,0.0,2,2,46.0,1,1,0,0.0,0,0,0,0,0,0,0,0,,
2011-09-10,Arsenal,Swansea,1,0,H,81,73,3,1,46.0,2,10,-8,0.0,3,2,71.0,0,4,-4,0.0,0,0,0,0,0,0,0,0,,
2011-09-10,Bolton,Man United,0,5,A,74,83,3,3,,7,6,1,0.3333333333333333,3,9,47.0,13,3,10,1.0,0,0,0,0,0,0,0,0,,
2011-09-10,Everton,Aston Villa,2,2,D,77,76,2,3,54.0,1,1,0,0.5,3,5,49.0,3,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,,
2011-09-10,Man City,Wigan,3,0,H,83,72,3,9,71.0,12,3,9,1.0,3,5,42.0,3,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,,
2011-09-10,Stoke,Liverpool,1,0,H,76,81,3,5,46.0,2,1,1,0.3333333333333333,3,7,58.0,6,2,4,0.6666666666666666,0,0,0,0,0,0,0,0,,
2011-09-10,Sunderland,Chelsea,1,2,A,76,83,3,2,58.0,1,2,-1,0.0,3,7,46.0,5,2,3,0.6666666666666666,0,0,0,0,0,0,0,0,,
2011-09-10,Wolves,Tottenham,0,2,A,75,81,3,7,43.0,4,1,3,0.6666666666666666,2,0,80.0,1,8,-7,0.0,0,0,0,0,0,0,0,0,,
2011-09-11,Fulham,Blackburn,1,1,D,77,74,3,1,49.0,1,4,-3,0.0,3,0,43.0,2,6,-4,0.0,0,0,0,0,0,0,0,0,,
2011-09-11,Norwich,West Brom,0,1,A,72,74,3,2,42.0,3,5,-2,0.0,3,0,47.0,2,5,-3,0.0,0,0,0,0,0,0,0,0,,
2011-09-12,QPR,Newcastle,0,0,D,76,77,3,3,,1,6,-5,0.3333333333333333,3,7,46.0,3,1,2,0.6666666666666666,0,0,0,0,0,0,0,0,,
2011-09-17,Aston Villa,Newcastle,1,1,D,76,77,4,6,49.0,5,3,2,0.25,4,8,46.0,3,1,2,0.5,0,0,0,0,0,0,0,0,,
2011-09-17,Blackburn,Arsenal,4,3,H,74,81,4,1,43.0,3,7,-4,0.0,4,4,46.0,3,10,-7,0.25,0,0,0,0,0,0,0,0,,
2011-09-17,Bolton,Norwich,1,2,A,74,72,4,3,,7,11,-4,0.25,4,2,42.0,3,6,-3,0.0,0,0,1,0,0,0,0,0,,
2011-09-17,Everton,Wigan,3,1,H,77,72,3,4,54.0,3,3,0,0.3333333333333333,4,5,42.0,3,4,-1,0.25,0,0,0,0,0,0,0,0,,
2011-09-17,Swansea,West Brom,3,0,H,73,74,4,2,71.0,0,5,-5,0.0,4,3,47.0,3,5,-2,0.25,0,0,0,0,0,0,0,0,,
2011-09-17,Wolves,QPR,0,3,A,75,76,4,7,43.0,4,3,1,0.5,4,4,,1,6,-5,0.25,0,0,0,0,0,0,0,0,,
2011-09-18,Fulham,Man City,2,2,D,77,83,4,2,49.0,2,5,-3,0.0,4,12,71.0,15,3,12,1.0,0,0,0,0,1,0,0,0,,
2011-09-18,Man United,Chelsea,3,1,H,83,83,4,12,47.0,18,3,15,1.0,4,10,46.0,7,3,4,0.75,1,0,0,0,1,0,0,0,,
2011-09-18,Sunderland,Stoke,4,0,H,76,76,4,2,58.0,2,4,-2,0.0,4,8,46.0,3,1,2,0.5,0,0,0,0,0,0,0,0,,
2011-09-18,Tottenham,Liverpool,4,0,H,81,81,3,3,80.0,3,8,-5,0.3333333333333333,4,7,58.0,6,3,3,0.5,0,0,0,0,0,0,0,0,,
2011-09-24,Arsenal,Bolton,3,0,H,81,74,5,4,46.0,6,14,-8,0.2,5,3,,8,13,-5,0.2,0,0,0,0,0,0,1,0,0.2,0.2
2011-09-24,Chelsea,Swansea,4,1,H,83,73,5,10,46.0,8,6,2,0.6,5,5,71.0,3,5,-2,0.2,0,0,0,0,0,0,0,0,0.6,0.2
2011-09-24,Liverpool,Wolves,2,1,H,81,75,5,7,58.0,6,7,-1,0.4,5,7,43.0,4,6,-2,0.4,0,0,0,0,0,0,0,0,0.4,0.4
2011-09-24,Man City,Everton,2,0,H,83,77,5,13,71.0,17,5,12,0.8,4,7,54.0,6,4,2,0.5,0,0,0,0,0,0,0,0,0.8,
2011-09-24,Newcastle,Blackburn,3,1,H,77,74,5,9,46.0,4,2,2,0.4,5,4,43.0,7,10,-3,0.2,0,0,0,0,0,0,0,0,0.4,0.2
2011-09-24,Stoke,Man United,1,1,D,76,83,5,8,46.0,3,5,-2,0.4,5,15,47.0,21,4,17,1.0,0,0,0,0,1,1,0,0,0.4,1.0
2011-09-24,West Brom,Fulham,0,0,D,74,77,5,3,47.0,3,8,-5,0.2,5,3,49.0,4,7,-3,0.0,0,0,0,0,0,0,0,0,0.2,0.0
2011-09-24,Wigan,Tottenham,1,2,A,72,81,5,5,42.0,4,7,-3,0.2,4,6,80.0,7,8,-1,0.5,0,0,0,0,0,0,0,0,0.2,
2011-09-25,QPR,Aston Villa,1,1,D,76,76,5,7,,4,6,-2,0.4,5,7,49.0,6,4,2,0.2,0,0,0,0,0,0,0,0,0.4,0.2
2011-09-26,Norwich,Sunderland,2,1,H,72,76,5,5,42.0,5,7,-2,0.2,5,5,58.0,6,4,2,0.2,0,0,0,0,0,0,0,0,0.2,0.2
2011-10-01,Aston Villa,Wigan,2,0,H,76,72,6,8,49.0,7,5,2,0.16666666666666666,6,5,42.0,5,9,-4,0.16666666666666666,0,0,0,0,0,0,1,0,0.2,0.2
2011-10-01,Blackburn,Man City,0,4,A,74,83,6,4,43.0,8,13,-5,0.16666666666666666,6,16,71.0,19,5,14,0.8333333333333334,0,0,0,0,0,0,0,0,0.2,0.8
2011-10-01,Everton,Liverpool,0,2,A,77,81,5,7,54.0,6,6,0,0.4,6,10,58.0,8,8,0,0.5,0,0,0,0,0,0,0,0,0.4,0.6
2011-10-01,Man United,Norwich,2,0,H,83,72,6,16,47.0,22,5,17,0.8333333333333334,6,8,42.0,7,8,-1,0.3333333333333333,0,0,0,0,0,0,0,0,0.8,0.4
2011-10-01,Sunderland,West Brom,2,2,D,76,74,6,5,58.0,7,6,1,0.16666666666666666,6,4,47.0,3,8,-5,0.16666666666666666,0,0,0,0,0,0,0,0,0.2,0.2
2011-10-01,Wolves,Newcastle,1,2,A,75,77,6,7,43.0,5,8,-3,0.3333333333333333,6,12,46.0,7,3,4,0.5,0,0,1,0,0,0,0,0,0.2,0.6
2011-10-02,Bolton,Chelsea,1,5,A,74,83,6,3,,8,16,-8,0.16666666666666666,6,13,46.0,12,7,5,0.6666666666666666,0,0,1,1,0,0,0,0,0.0,0.8
2011-10-02,Fulham,QPR,6,0,H,77,76,6,4,49.0,4,7,-3,0.0,6,8,,5,7,-2,0.3333333333333333,0,0,0,0,0,0,0,0,0.0,0.4
2011-10-02,Swansea,Stoke,2,0,H,73,76,6,5,71.0,4,9,-5,0.16666666666666666,6,9,46.0,4,6,-2,0.3333333333333333,0,0,0,0,0,0,0,0,0.2,0.4
2011-10-02,Tottenham,Arsenal,2,1,H,81,81,5,9,80.0,9,9,0,0.6,6,7,46.0,9,14,-5,0.3333333333333333,1,0,0,0,0,0,0,0,0.6,0.4
2011-10-15,Chelsea,Everton,3,1,H,83,77,7,16,46.0,17,8,9,0.7142857142857143,6,7,54.0,6,8,-2,0.3333333333333333,0,0,0,0,0,0,0,0,0.8,0.4
2011-10-15,Liverpool,Man United,1,1,D,81,83,7,13,58.0,10,8,2,0.5714285714285714,7,19,47.0,24,5,19,0.8571428571428571,0,0,0,0,0,0,0,0,0.6,0.8
2011-10-15,Man City,Aston Villa,4,1,H,83,76,7,19,71.0,23,5,18,0.8571428571428571,7,11,49.0,9,5,4,0.2857142857142857,0,0,0,0,0,0,0,0,0.8,0.2
2011-10-15,Norwich,Swansea,3,1,H,72,73,7,8,42.0,7,10,-3,0.2857142857142857,7,8,71.0,6,9,-3,0.2857142857142857,0,0,0,0,0,0,0,0,0.4,0.4
2011-10-15,QPR,Blackburn,1,1,D,76,74,7,8,,5,13,-8,0.2857142857142857,7,4,43.0,8,17,-9,0.14285714285714285,0,0,0,0,0,0,0,0,0.2,0.2
2011-10-15,Stoke,Fulham,2,0,H,76,77,7,9,46.0,4,8,-4,0.2857142857142857,7,7,49.0,10,7,3,0.14285714285714285,0,0,0,0,0,0,0,0,0.4,0.2
2011-10-15,Wigan,Bolton,1,3,A,72,74,7,5,42.0,5,11,-6,0.14285714285714285,7,3,,9,21,-12,0.14285714285714285,0,0,1,0,0,0,1,1,0.2,0.0
2011-10-16,Arsenal,Sunderland,2,1,H,81,76,7,7,46.0,10,16,-6,0.2857142857142857,7,6,58.0,9,8,1,0.14285714285714285,0,0,0,0,0,0,0,0,0.4,0.2
2011-10-16,Newcastle,Tottenham,2,2,D,77,81,7,15,46.0,9,4,5,0.5714285714285714,6,12,80.0,11,10,1,0.6666666666666666,0,0,0,0,1,0,0,0,0.6,0.8
2011-10-16,West Brom,Wolves,2,0,H,74,75,7,5,47.0,5,10,-5,0.14285714285714285,7,7,43.0,6,10,-4,0.2857142857142857,0,0,0,0,0,0,1,0,0.2,0.0
2011-10-22,Aston Villa,West Brom,1,2,A,76,74,8,11,49.0,10,9,1,0.25,8,8,47.0,7,10,-3,0.25,0,0,0,0,0,0,0,0,0.2,0.4
2011-10-22,Bolton,Sunderland,0,2,A,74,76,8,6,,12,22,-10,0.25,8,6,58.0,10,10,0,0.125,0,0,0,0,0,0,0,0,0.2,0.2
2011-10-22,Liverpool,Norwich,1,1,D,81,72,8,14,58.0,11,9,2,0.5,8,11,42.0,10,11,-1,0.375,0,0,0,0,0,0,0,0,0.4,0.6
2011-10-22,Newcastle,Wigan,1,0,H,77,72,8,16,46.0,11,6,5,0.5,8,5,42.0,6,14,-8,0.125,0,0,0,0,0,0,1,1,0.4,0.0
2011-10-22,Wolves,Swansea,2,2,D,75,73,8,7,43.0,6,12,-6,0.25,8,8,71.0,7,12,-5,0.25,0,0,1,1,0,0,0,0,0.0,0.4
2011-10-23,Arsenal,Stoke,3,1,H,81,76,8,10,46.0,12,17,-5,0.375,8,12,46.0,6,8,-2,0.375,0,0,0,0,0,0,0,0,0.6,0.4
2011-10-23,Blackburn,Tottenham,1,2,A,74,81,8,5,43.0,9,18,-9,0.125,7,13,80.0,13,12,1,0.5714285714285714,0,0,0,0,0,0,0,0,0.2,0.8
2011-10-23,Fulham,Everton,1,3,A,77,77,8,7,49.0,10,9,1,0.125,7,7,54.0,7,11,-4,0.2857142857142857,0,0,0,0,0,0,1,0,0.2,0.2
2011-10-23,Man United,Man City,1,6,A,83,83,8,20,47.0,25,6,19,0.75,8,22,71.0,27,6,21,0.875,0,0,0,0,1,0,0,0,0.6,0.8
2011-10-23,QPR,Chelsea,1,0,H,76,83,8,9,,6,14,-8,0.25,8,19,46.0,20,9,11,0.75,0,0,0,0,1,0,0,0,0.2,0.8
2011-10-29,Chelsea,Arsenal,3,5,A,83,81,9,19,46.0,20,10,10,0.6666666666666666,9,13,46.0,15,18,-3,0.4444444444444444,0,0,0,0,0,0,0,0,0.6,0.6
2011-10-29,Everton,Man United,0,1,A,77,83,8,10,54.0,10,12,-2,0.375,9,20,47.0,26,12,14,0.6666666666666666,0,0,0,0,0,0,0,0,0.4,0.4
2011-10-29,Man City,Wolves,3,1,H,83,75,9,25,71.0,33,7,26,0.8888888888888888,9,8,43.0,8,14,-6,0.2222222222222222,1,0,0,0,0,0,0,0,0.8,0.0
2011-10-29,Norwich,Blackburn,3,3,D,72,74,9,12,42.0,11,12,-1,0.3333333333333333,9,5,43.0,10,20,-10,0.1111111111111111,0,0,0,0,0,0,0,0,0.6,0.2
2011-10-29,Sunderland,Aston Villa,2,2,D,76,76,9,9,58.0,12,10,2,0.2222222222222222,9,11,49.0,11,11,0,0.2222222222222222,0,0,0,0,0,0,0,0,0.4,0.2
2011-10-29,Swansea,Bolton,3,1,H,73,74,9,9,71.0,9,14,-5,0.2222222222222222,9,6,,12,24,-12,0.2222222222222222,0,0,0,0,0,0,0,0,0.4,0.2
2011-10-29,West Brom,Liverpool,0,2,A,74,81,9,11,47.0,9,11,-2,0.3333333333333333,9,15,58.0,12,10,2,0.4444444444444444,0,0,0,0,0,0,0,0,0.4,0.4
2011-10-29,Wigan,Fulham,0,2,A,72,77,9,5,42.0,6,15,-9,0.1111111111111111,9,7,49.0,11,12,-1,0.1111111111111111,0,0,1,1,0,0,0,0,0.0,0.2
2011-10-30,Tottenham,QPR,3,1,H,81,76,8,16,80.0,15,13,2,0.625,9,12,,7,14,-7,0.3333333333333333,0,0,0,0,0,0,0,0,0.8,0.4
2011-10-31,Stoke,Newcastle,1,3,A,76,77,9,12,46.0,7,11,-4,0.3333333333333333,9,19,46.0,12,6,6,0.5555555555555556,0,0,0,0,0,0,0,0,0.2,0.6
2011-11-05,Arsenal,West Brom,3,0,H,81,74,10,16,46.0,20,21,-1,0.5,10,11,47.0,9,13,-4,0.3,1,0,0,0,0,0,0,0,0.8,0.4
2011-11-05,Aston Villa,Norwich,3,2,H,76,72,10,12,49.0,13,13,0,0.2,10,13,42.0,14,15,-1,0.3,0,0,0,0,0,0,0,0,0.2,0.4
2011-11-05,Blackburn,Chelsea,0,1,A,74,83,10,6,43.0,13,23,-10,0.1,10,19,46.0,23,15,8,0.6,0,0,0,0,0,0,0,0,0.0,0.6
2011-11-05,Liverpool,Swansea,0,0,D,81,73,10,18,58.0,14,10,4,0.5,10,12,71.0,12,15,-3,0.3,0,0,0,0,0,0,0,0,0.6,0.4
2011-11-05,Man United,Sunderland,1,0,H,83,76,10,23,47.0,27,12,15,0.7,10,10,58.0,14,12,2,0.2,0,0,0,0,0,0,0,0,0.4,0.2
2011-11-05,Newcastle,Everton,2,1,H,77,77,10,22,46.0,15,7,8,0.6,9,10,54.0,10,13,-3,0.3333333333333333,0,0,0,0,0,0,0,0,0.8,0.2
2011-11-05,QPR,Man City,2,3,A,76,83,10,12,,8,17,-9,0.3,10,28,71.0,36,8,28,0.9,0,0,0,0,1,1,0,0,0.2,1.0
2011-11-06,Bolton,Stoke,5,0,H,74,76,10,6,,13,27,-14,0.2,10,12,46.0,8,14,-6,0.3,0,0,0,0,0,0,0,0,0.2,0.2
2011-11-06,Fulham,Tottenham,1,3,A,77,81,10,10,49.0,13,12,1,0.2,9,19,80.0,18,14,4,0.6666666666666666,0,0,0,0,0,0,0,0,0.4,0.8
2011-11-06,Wolves,Wigan,3,1,H,75,72,10,8,43.0,9,17,-8,0.2,10,5,42.0,6,17,-11,0.1,0,0,0,0,0,0,1,1,0.0,0.0
2011-11-19,Everton,Wolves,2,1,H,77,75,10,10,54.0,11,15,-4,0.3,11,11,43.0,12,18,-6,0.2727272727272727,0,0,0,0,0,0,0,0,0.2,0.2
2011-11-19,Man City,Newcastle,3,1,H,83,77,11,31,71.0,39,10,29,0.9090909090909091,11,25,46.0,17,8,9,0.6363636363636364,1,1,0,0,1,0,0,0,1.0,0.8
2011-11-19,Norwich,Arsenal,1,2,A,72,81,11,13,42.0,16,18,-2,0.2727272727272727,11,19,46.0,23,21,2,0.5454545454545454,0,0,0,0,1,0,0,0,0.2,0.8
2011-11-19,Stoke,QPR,2,3,A,76,76,11,12,46.0,8,19,-11,0.2727272727272727,11,12,,10,20,-10,0.2727272727272727,0,0,1,0,0,0,0,0,0.2,0.2
2011-11-19,Sunderland,Fulham,0,0,D,76,77,11,10,58.0,14,13,1,0.18181818181818182,11,10,49.0,14,15,-1,0.18181818181818182,0,0,0,0,0,0,0,0,0.2,0.4
2011-11-19,Swansea,Man United,0,1,A,73,83,11,13,71.0,12,15,-3,0.2727272727272727,11,26,47.0,28,12,16,0.7272727272727273,0,0,0,0,0,0,0,0,0.4,0.6
2011-11-19,West Brom,Bolton,2,1,H,74,74,11,11,47.0,9,16,-7,0.2727272727272727,11,9,,18,27,-9,0.2727272727272727,0,0,0,0,0,0,0,0,0.4,0.4
2011-11-19,Wigan,Blackburn,3,3,D,72,74,11,5,42.0,7,20,-13,0.09090909090909091,11,6,43.0,13,24,-11,0.09090909090909091,0,0,1,1,0,0,0,0,0.0,0.0
2011-11-20,Chelsea,Liverpool,1,2,A,83,81,11,22,46.0,24,15,9,0.6363636363636364,11,19,58.0,14,10,4,0.45454545454545453,0,0,0,0,0,0,0,0,0.6,0.4
2011-11-21,Tottenham,Aston Villa,2,0,H,81,76,10,22,80.0,21,15,6,0.7,11,15,49.0,16,15,1,0.2727272727272727,1,0,0,0,0,0,0,0,0.8,0.4
2011-11-26,Arsenal,Fulham,1,1,D,81,77,12,22,46.0,25,22,3,0.5833333333333334,12,11,49.0,14,15,-1,0.16666666666666666,1,1,0,0,0,0,0,0,1.0,0.2
2011-11-26,Bolton,Everton,0,2,A,74,77,12,9,,19,29,-10,0.25,11,13,54.0,13,16,-3,0.36363636363636365,0,0,0,0,0,0,0,0,0.4,0.4
2011-11-26,Chelsea,Wolves,3,0,H,83,75,12,22,46.0,25,17,8,0.5833333333333334,12,11,43.0,13,20,-7,0.25,0,0,0,0,0,0,0,0,0.4,0.2
2011-11-26,Man United,Newcastle,1,1,D,83,77,12,29,47.0,29,12,17,0.75,12,25,46.0,18,11,7,0.5833333333333334,1,0,0,0,0,0,0,0,0.6,0.6
2011-11-26,Norwich,QPR,2,1,H,72,76,12,13,42.0,17,20,-3,0.25,12,15,,13,22,-9,0.3333333333333333,0,0,0,0,0,0,0,0,0.2,0.4
2011-11-26,Stoke,Blackburn,3,1,H,76,74,12,12,46.0,10,22,-12,0.25,12,7,43.0,16,27,-11,0.08333333333333333,0,0,1,0,0,0,0,0,0.2,0.0
2011-11-26,Sunderland,Wigan,1,2,A,76,72,12,11,58.0,14,13,1,0.16666666666666666,12,6,42.0,10,23,-13,0.08333333333333333,0,0,0,0,0,0,0,0,0.2,0.0
2011-11-26,West Brom,Tottenham,1,3,A,74,81,12,14,47.0,11,17,-6,0.3333333333333333,11,25,80.0,23,15,8,0.7272727272727273,0,0,0,0,1,0,0,0,0.6,0.8
2011-11-27,Liverpool,Man City,1,1,D,81,83,12,22,58.0,16,11,5,0.5,12,34,71.0,42,11,31,0.9166666666666666,0,0,0,0,1,1,0,0,0.4,1.0
2011-11-27,Swansea,Aston Villa,0,0,D,73,76,12,13,71.0,12,16,-4,0.25,12,15,49.0,16,17,-1,0.25,0,0,0,0,0,0,0,0,0.2,0.2
2011-12-03,Aston Villa,Man United,0,1,A,76,83,13,16,49.0,16,17,-1,0.23076923076923078,13,30,47.0,30,13,17,0.6923076923076923,0,0,0,0,0,0,0,0,0.2,0.6
2011-12-03,Blackburn,Swansea,4,2,H,74,73,13,7,43.0,17,30,-13,0.07692307692307693,13,14,71.0,12,16,-4,0.23076923076923078,0,0,0,0,0,0,0,0,0.0,0.2
2011-12-03,Man City,Norwich,5,1,H,83,72,13,35,71.0,43,12,31,0.8461538461538461,13,16,42.0,19,21,-2,0.3076923076923077,0,0,0,0,0,0,0,0,0.8,0.2
2011-12-03,Newcastle,Chelsea,0,3,A,77,83,13,26,46.0,19,12,7,0.5384615384615384,13,25,46.0,28,17,11,0.6153846153846154,0,0,0,0,0,0,0,0,0.6,0.4
2011-12-03,QPR,West Brom,1,1,D,76,74,13,15,,14,24,-10,0.3076923076923077,13,14,47.0,12,20,-8,0.3076923076923077,0,0,0,0,0,0,0,0,0.4,0.4
2011-12-03,Tottenham,Bolton,3,0,H,81,74,12,28,80.0,26,16,10,0.75,13,9,,19,31,-12,0.23076923076923078,1,1,0,0,0,0,0,0,1.0,0.2
2011-12-03,Wigan,Arsenal,0,4,A,72,81,13,9,42.0,12,24,-12,0.15384615384615385,13,23,46.0,26,23,3,0.5384615384615384,0,0,0,0,0,0,0,0,0.2,0.8
2011-12-04,Everton,Stoke,0,1,A,77,76,12,16,54.0,15,16,-1,0.4166666666666667,13,15,46.0,13,23,-10,0.3076923076923077,0,0,0,0,0,0,0,0,0.6,0.2
2011-12-04,Wolves,Sunderland,2,1,H,75,76,13,11,43.0,13,23,-10,0.23076923076923078,13,11,58.0,15,15,0,0.15384615384615385,0,0,0,0,0,0,0,0,0.2,0.2
2011-12-05,Fulham,Liverpool,1,0,H,77,81,13,12,49.0,15,16,-1,0.15384615384615385,13,23,58.0,17,12,5,0.46153846153846156,0,0,0,0,0,0,0,0,0.2,0.4
2011-12-10,Arsenal,Everton,1,0,H,81,77,14,26,46.0,30,23,7,0.5714285714285714,13,16,54.0,15,17,-2,0.38461538461538464,0,0,0,0,0,0,0,0,0.8,0.4
2011-12-10,Bolton,Aston Villa,1,2,A,74,76,14,9,,19,34,-15,0.21428571428571427,14,16,49.0,16,18,-2,0.21428571428571427,0,0,1,0,0,0,0,0,0.2,0.2
2011-12-10,Liverpool,QPR,1,0,H,81,76,14,23,58.0,17,13,4,0.42857142857142855,14,16,,15,25,-10,0.2857142857142857,0,0,0,0,0,0,0,0,0.4,0.2
2011-12-10,Man United,Wolves,4,1,H,83,75,14,33,47.0,31,13,18,0.7142857142857143,14,14,43.0,15,24,-9,0.2857142857142857,0,0,0,0,0,0,0,0,0.8,0.4
2011-12-10,Norwich,Newcastle,4,2,H,72,77,14,16,42.0,20,26,-6,0.2857142857142857,14,26,46.0,19,15,4,0.5,0,0,0,0,0,0,0,0,0.2,0.4
2011-12-10,Swansea,Fulham,2,0,H,73,77,14,14,71.0,14,20,-6,0.21428571428571427,14,15,49.0,16,16,0,0.21428571428571427,0,0,0,0,0,0,0,0,0.2,0.4
2011-12-10,West Brom,Wigan,1,2,A,74,72,14,15,47.0,13,21,-8,0.2857142857142857,14,9,42.0,12,28,-16,0.14285714285714285,0,0,0,0,0,0,0,0,0.2,0.2
2011-12-11,Stoke,Tottenham,2,1,H,76,81,14,18,46.0,14,23,-9,0.35714285714285715,13,31,80.0,29,16,13,0.7692307692307693,0,0,0,0,1,1,0,0,0.4,1.0
2011-12-11,Sunderland,Blackburn,2,1,H,76,74,14,11,58.0,16,17,-1,0.14285714285714285,14,10,43.0,21,32,-11,0.14285714285714285,0,0,0,0,0,0,0,0,0.0,0.2
2011-12-12,Chelsea,Man City,2,1,H,83,83,14,28,46.0,31,17,14,0.6428571428571429,14,38,71.0,48,13,35,0.8571428571428571,0,0,0,0,0,0,0,0,0.6,0.8
