MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA
311,09/04/11,Man United,Fulham,2,0,H,82,77
312,09/04/11,Sunderland,West Brom,2,3,A,75,73
313,09/04/11,Tottenham,Stoke,3,2,H,80,74
314,09/04/11,Wolves,Everton,0,3,A,73,78
315,10/04/11,Aston Villa,Newcastle,1,0,H,78,74
316,10/04/11,Blackpool,Arsenal,1,3,A,69,81
317,11/04/11,Liverpool,Man City,3,0,H,80,82
318,16/04/11,Birmingham,Sunderland,2,0,H,76,75
319,16/04/11,Blackpool,Wigan,1,3,A,69,73
320,16/04/11,Everton,Blackburn,2,0,H,78,75
321,16/04/11,West Brom,Chelsea,1,3,A,73,83
322,16/04/11,West Ham,Aston Villa,1,2,A,75,78
323,17/04/11,Arsenal,Liverpool,1,1,D,81,80
324,19/04/11,Newcastle,Man United,0,0,D,74,82
325,20/04/11,Chelsea,Birmingham,3,1,H,83,76
326,20/04/11,Tottenham,Arsenal,3,3,D,80,81
327,23/04/11,Aston Villa,Stoke,1,1,D,78,74
328,23/04/11,Blackpool,Newcastle,1,1,D,69,74
329,23/04/11,Chelsea,West Ham,3,0,H,83,75
330,23/04/11,Liverpool,Birmingham,5,0,H,80,76
331,23/04/11,Man United,Everton,1,0,H,82,78
332,23/04/11,Sunderland,Wigan,4,2,H,75,73
333,23/04/11,Tottenham,West Brom,2,2,D,80,73
334,23/04/11,Wolves,Fulham,1,1,D,73,77
335,24/04/11,Bolton,Arsenal,2,1,H,75,81
336,25/04/11,Blackburn,Man City,0,1,A,75,82
337,26/04/11,Stoke,Wolves,3,0,H,74,73
338,27/04/11,Fulham,Bolton,3,0,H,77,75
339,30/04/11,Blackburn,Bolton,1,0,H,75,75
340,30/04/11,Blackpool,Stoke,0,0,D,69,74
341,30/04/11,Chelsea,Tottenham,2,1,H,83,80
342,30/04/11,Sunderland,Fulham,0,3,A,75,77
343,30/04/11,West Brom,Aston Villa,2,1,H,73,78
344,30/04/11,Wigan,Everton,1,1,D,73,78
345,01/05/11,Arsenal,Man United,1,0,H,81,82
346,01/05/11,Birmingham,Wolves,1,1,D,76,73
347,01/05/11,Liverpool,Newcastle,3,0,H,80,74
348,01/05/11,Man City,West Ham,2,1,H,82,75
349,07/05/11,Aston Villa,Wigan,1,1,D,78,73
350,07/05/11,Bolton,Sunderland,1,2,A,75,75
351,07/05/11,Everton,Man City,2,1,H,78,82
352,07/05/11,Newcastle,Birmingham,2,1,H,74,76
353,07/05/11,Tottenham,Blackpool,1,1,D,80,69
354,07/05/11,West Ham,Blackburn,1,1,D,75,75
355,08/05/11,Man United,Chelsea,2,1,H,82,83
356,08/05/11,Stoke,Arsenal,3,1,H,74,81
357,08/05/11,Wolves,West Brom,3,1,H,73,73
358,09/05/11,Fulham,Liverpool,2,5,A,77,80
359,10/05/11,Man City,Tottenham,1,0,H,82,80
360,14/05/11,Blackburn,Man United,1,1,D,75,82
361,14/05/11,Blackpool,Bolton,4,3,H,69,75
362,14/05/11,Sunderland,Wolves,1,3,A,75,73
363,14/05/11,West Brom,Everton,1,0,H,73,78
364,15/05/11,Arsenal,Aston Villa,1,2,A,81,78
365,15/05/11,Birmingham,Fulham,0,2,A,76,77
366,15/05/11,Chelsea,Newcastle,2,2,D,83,74
