MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AT_match_played,AT_goal_against,HT_goal_against,HT_goal_differnece,AT_current_standing,HT_match_played,AT_goal_differnece,AT_goal_for,HT_current_standing,HT_goal_for
107,28/10/95,Wimbledon,Southampton,1,2,A,10,19,23,-9,6,10,-10,9,10,14
108,29/10/95,Tottenham,Newcastle,1,1,D,10,7,13,2,27,10,19,26,15,15
109,30/10/95,Bolton,Arsenal,1,0,H,10,5,22,-11,21,10,10,15,5,11
110,04/11/95,Arsenal,Man United,1,0,H,11,11,6,9,26,11,12,23,21,15
111,04/11/95,Chelsea,Sheffield Weds,0,0,D,11,13,14,-3,11,11,-4,9,15,11
112,04/11/95,Coventry,Tottenham,2,3,A,11,14,21,-13,16,11,2,16,7,8
113,04/11/95,Man City,Bolton,1,0,H,11,22,21,-18,8,11,-10,12,2,3
114,04/11/95,Middlesbrough,Leeds,1,1,D,11,13,6,5,20,11,4,17,21,11
115,04/11/95,Newcastle,Liverpool,2,1,H,11,8,8,19,23,11,16,24,28,27
116,04/11/95,Southampton,QPR,2,0,H,11,17,20,-9,10,11,-7,10,9,11
117,04/11/95,West Ham,Aston Villa,1,4,A,11,8,12,-2,20,11,5,13,13,10
118,05/11/95,Everton,Blackburn,1,0,H,11,15,16,-4,14,11,1,16,9,12
119,06/11/95,Nott'm Forest,Wimbledon,4,1,H,11,25,12,7,10,11,-10,15,21,19
120,08/11/95,Newcastle,Blackburn,1,0,H,12,16,9,20,14,12,0,16,31,29
121,18/11/95,Aston Villa,Newcastle,1,1,D,13,9,9,8,34,12,21,30,23,17
122,18/11/95,Blackburn,Nott'm Forest,7,0,H,12,13,17,-1,24,13,10,23,14,16
123,18/11/95,Bolton,West Ham,0,3,A,12,16,23,-11,13,12,-5,11,8,12
124,18/11/95,Leeds,Chelsea,1,0,H,12,14,14,4,16,12,-3,11,21,18
125,18/11/95,Liverpool,Everton,1,2,A,12,16,10,15,12,12,-3,13,23,25
126,18/11/95,Man United,Southampton,4,1,H,12,20,12,11,12,12,-7,13,26,23
127,18/11/95,Sheffield Weds,Man City,1,1,D,12,21,13,-4,5,12,-17,4,12,9
128,18/11/95,Tottenham,Arsenal,2,1,H,12,6,16,3,24,12,10,16,19,19
