MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
351,22/04/06,Portsmouth,Sunderland,2,1,H
352,24/04/06,Fulham,Wigan,1,0,H
353,25/04/06,Aston Villa,Man City,0,1,A
354,26/04/06,West Ham,Liverpool,1,2,A
355,29/04/06,Birmingham,Newcastle,0,0,D
356,29/04/06,Charlton,Blackburn,0,2,A
357,29/04/06,Chelsea,Man United,3,0,H
358,29/04/06,Liverpool,Aston Villa,3,1,H
359,29/04/06,Man City,Fulham,1,2,A
360,29/04/06,Middlesbrough,Everton,0,1,A
361,29/04/06,Wigan,Portsmouth,1,2,A
362,30/04/06,Tottenham,Bolton,1,0,H
363,01/05/06,Man United,Middlesbrough,0,0,D
364,01/05/06,Sunderland,Arsenal,0,3,A
365,01/05/06,West Brom,West Ham,0,1,A
366,02/05/06,Blackburn,Chelsea,1,0,H
367,03/05/06,Bolton,Middlesbrough,1,1,D
368,04/05/06,Man City,Arsenal,1,3,A
369,04/05/06,Sunderland,Fulham,2,1,H
370,07/05/06,Arsenal,Wigan,4,2,H
371,07/05/06,Aston Villa,Sunderland,2,1,H
372,07/05/06,Blackburn,Man City,2,0,H
373,07/05/06,Bolton,Birmingham,1,0,H
374,07/05/06,Everton,West Brom,2,2,D
375,07/05/06,Fulham,Middlesbrough,1,0,H
376,07/05/06,Man United,Charlton,4,0,H
377,07/05/06,Newcastle,Chelsea,1,0,H
378,07/05/06,Portsmouth,Liverpool,1,3,A
379,07/05/06,West Ham,Tottenham,2,1,H
