Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2001-02-11,Charlton,Newcastle,2,0,H,26,37,-1,-1,0.0,34,38,-4,0.38461538461538464,25,37,52,9,0.3684210526315789,32,35,-3,0.44,0,0,0,0,0,0,0,0,0.4,0.4,0,-53,-10,-0.3684210526315789,-0.055384615384615365,-1
2001-02-12,West Ham,Coventry,1,1,D,25,31,55,-1,0.3947368421052632,32,30,2,0.28,26,21,44,-7,0.3157894736842105,23,45,-22,0.19230769230769232,0,0,0,0,0,0,1,0,0.0,0.0,10,11,6,0.07894736842105271,0.08769230769230771,24
2001-02-24,Bradford,West Ham,1,2,A,26,16,36,-30,0.2368421052631579,16,48,-32,0.11538461538461539,26,32,55,-1,0.3947368421052632,33,31,2,0.2692307692307692,0,0,1,0,0,0,0,0,0.0,0.0,-16,-19,-29,-0.1578947368421053,-0.15384615384615383,-34
2001-02-24,Coventry,Charlton,2,2,D,27,22,44,-7,0.3157894736842105,24,46,-22,0.18518518518518517,27,40,-1,-1,0.0,36,38,-2,0.4074074074074074,0,0,0,0,0,0,0,0,0.0,0.4,-18,45,-6,0.3157894736842105,-0.2222222222222222,-20
2001-02-24,Derby,Aston Villa,1,0,H,27,28,38,-13,0.2368421052631579,27,43,-16,0.2222222222222222,25,33,58,11,0.3947368421052632,28,27,1,0.32,0,0,0,0,0,0,0,0,0.2,0.2,-5,-20,-24,-0.1578947368421053,-0.0977777777777778,-17
2001-02-24,Ipswich,Everton,2,0,H,26,40,-1,-1,0.0,37,33,4,0.46153846153846156,27,31,50,10,0.3157894736842105,30,40,-10,0.2962962962962963,0,0,1,0,0,0,0,0,0.2,0.4,9,-51,-11,-0.3157894736842105,0.16524216524216528,14
2001-02-24,Leicester,Sunderland,2,0,H,26,39,55,0,0.42105263157894735,27,29,-2,0.4230769230769231,27,44,58,1,0.42105263157894735,32,25,7,0.4444444444444444,0,0,0,0,0,0,0,0,0.2,0.2,-5,-3,-1,0.0,-0.021367521367521347,-9
2001-02-24,Middlesbrough,Southampton,0,1,A,27,27,52,-6,0.3684210526315789,31,34,-3,0.18518518518518517,26,35,44,-17,0.3157894736842105,31,34,-3,0.34615384615384615,0,0,0,0,0,0,0,0,0.2,0.4,-8,8,11,0.05263157894736842,-0.16096866096866097,0
2001-02-24,Newcastle,Man City,0,1,A,26,37,52,9,0.3684210526315789,32,37,-5,0.4230769230769231,27,23,-1,-1,0.0,30,46,-16,0.18518518518518517,0,0,0,0,0,0,0,0,0.4,0.0,14,53,10,0.3684210526315789,0.2378917378917379,11
2001-02-24,Tottenham,Leeds,1,2,A,27,36,53,8,0.3947368421052632,31,34,-3,0.3333333333333333,27,40,69,15,0.5526315789473685,39,35,4,0.4074074074074074,0,0,0,0,0,0,0,0,0.2,0.6,-4,-16,-7,-0.15789473684210525,-0.07407407407407407,-7
