Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2019-02-22,Chelsea,Brighton,0.0,0.0,H,83,76,7
2019-02-22,Everton,Man City,0.0,0.0,A,79,85,-6
2019-02-22,Man United,Liverpool,0.0,0.0,H,83,83,0
2019-02-22,Leicester,Crystal Palace,0.0,0.0,H,78,77,1
2019-02-22,Burnley,Tottenham,0.0,0.0,A,78,83,-5
2019-02-22,Cardiff,Watford,0.0,0.0,H,73,77,-4
2019-02-22,West Ham,Fulham,0.0,0.0,H,78,76,2
2019-02-22,Bournemouth,Wolves,0.0,0.0,H,76,76,0
2019-02-25,Arsenal,Bournemouth,0.0,0.0,H,82,76,6
2019-02-25,Leicester,Brighton,0.0,0.0,H,78,76,2
2019-02-25,Huddersfield,Wolves,0.0,0.0,H,75,76,-1
2019-02-25,Cardiff,Everton,0.0,0.0,A,73,79,-6
2019-02-25,Crystal Palace,Man United,0.0,0.0,A,77,83,-6
2019-02-26,Liverpool,Watford,0.0,0.0,H,83,77,6
2019-02-26,Man City,West Ham,0.0,0.0,H,85,78,7
2019-02-26,Newcastle,Burnley,0.0,0.0,H,76,78,-2
2019-02-26,Chelsea,Tottenham,0.0,0.0,H,83,83,0
2019-02-26,Southampton,Fulham,0.0,0.0,H,77,76,1
2019-03-01,Wolves,Cardiff,0.0,0.0,H,76,73,3
2019-03-01,Fulham,Chelsea,0.0,0.0,A,76,83,-7
2019-03-01,Tottenham,Arsenal,0.0,0.0,H,83,82,1
2019-03-01,Everton,Liverpool,0.0,0.0,A,79,83,-4
2019-03-01,Man United,Southampton,0.0,0.0,H,83,77,6
2019-03-01,Burnley,Crystal Palace,0.0,0.0,H,78,77,1
2019-03-01,West Ham,Newcastle,0.0,0.0,H,78,76,2
2019-03-01,Brighton,Huddersfield,0.0,0.0,H,76,75,1
2019-03-01,Watford,Leicester,0.0,0.0,H,77,78,-1
2019-03-01,Bournemouth,Man City,0.0,0.0,A,76,85,-9
2019-03-08,Liverpool,Burnley,0.0,0.0,H,83,78,5
2019-03-08,Man City,Watford,0.0,0.0,H,85,77,8
2019-03-08,Newcastle,Everton,0.0,0.0,H,76,79,-3
2019-03-08,Arsenal,Man United,0.0,0.0,H,82,83,-1
2019-03-08,Chelsea,Wolves,0.0,0.0,H,83,76,7
2019-03-08,Leicester,Fulham,0.0,0.0,H,78,76,2
2019-03-08,Huddersfield,Bournemouth,0.0,0.0,H,75,76,-1
2019-03-08,Cardiff,West Ham,0.0,0.0,H,73,78,-5
2019-03-08,Southampton,Tottenham,0.0,0.0,A,77,83,-6
2019-03-08,Crystal Palace,Brighton,0.0,0.0,H,77,76,1
2019-03-15,Wolves,Arsenal,0.0,0.0,A,76,82,-6
2019-03-15,Fulham,Liverpool,0.0,0.0,A,76,83,-7
2019-03-15,Tottenham,Crystal Palace,0.0,0.0,H,83,77,6
2019-03-15,Everton,Chelsea,0.0,0.0,A,79,83,-4
2019-03-15,Man United,Man City,0.0,0.0,H,83,85,-2
2019-03-15,Burnley,Leicester,0.0,0.0,H,78,78,0
2019-03-15,West Ham,Huddersfield,0.0,0.0,H,78,75,3
2019-03-15,Brighton,Cardiff,0.0,0.0,H,76,73,3
2019-03-15,Watford,Southampton,0.0,0.0,H,77,77,0
